algorithm,instance,run,memory,code,time,iterations,graph,nodes,edges,modularity,N,clusters,conductance,cut
commdgi,cnr-2000,2,778240,1
commdgi,cnr-2000,3,778240,1
commdgi,cnr-2000,4,778240,1
commdgi,cnr-2000,5,778240,1
clustre_fast,cnr-2000,1,10240,0,0.34498,0,cnr-2000.graph,325557,5477938,0.591774888,17757865294904,44097,0.40615738,0.00000804
clustre_fast,cnr-2000,2,8192,0,0.342122,0,cnr-2000.graph,325557,5477938,0.591774888,17757865294904,44097,0.40615738,0.00000804
clustre_fast,cnr-2000,3,10240,0,0.338994,0,cnr-2000.graph,325557,5477938,0.591774888,17757865294904,44097,0.40615738,0.00000804
clustre_fast,cnr-2000,4,10240,0,0.339596,0,cnr-2000.graph,325557,5477938,0.591774888,17757865294904,44097,0.40615738,0.00000804
clustre_fast,cnr-2000,5,10240,0,0.364021,0,cnr-2000.graph,325557,5477938,0.591774888,17757865294904,44097,0.40615738,0.00000804
clustre_strong,cnr-2000,1,68660,0,2279.449653,0,cnr-2000.graph,325557,5477938,0.912458270,27380869592450,302,0.00447662,0.00000007
clustre_strong,cnr-2000,2,66636,0,1168.830965,0,cnr-2000.graph,325557,5477938,0.912456237,27380808597986,296,0.00451199,0.00000007
clustre_strong,cnr-2000,3,68188,0,3399.867576,0,cnr-2000.graph,325557,5477938,0.912457377,27380842798910,304,0.00422514,0.00000007
clustre_strong,cnr-2000,4,68256,0,2986.838725,0,cnr-2000.graph,325557,5477938,0.912455489,27380786165168,303,0.00422773,0.00000007
clustre_strong,cnr-2000,5,69244,0,171.458523,0,cnr-2000.graph,325557,5477938,0.912456250,27380809001784,290,0.00416031,0.00000007
walktrap,cond-mat,1,206392,0,4.8595,0,cond-mat.graph,16726,95188,0.741759374,6720900216,2017,0.06801364,0.00001473
walktrap,cond-mat,2,206392,0,4.8036,0,cond-mat.graph,16726,95188,0.741759374,6720900216,2017,0.06801364,0.00001473
walktrap,cond-mat,3,206392,0,4.8377,0,cond-mat.graph,16726,95188,0.741759374,6720900216,2017,0.06801364,0.00001473
walktrap,cond-mat,4,206392,0,4.7421,0,cond-mat.graph,16726,95188,0.741759374,6720900216,2017,0.06801364,0.00001473
walktrap,cond-mat,5,206392,0,4.7260,0,cond-mat.graph,16726,95188,0.741759374,6720900216,2017,0.06801364,0.00001473
vieclus,cond-mat,1,38152,0,3319.09,0,cond-mat.graph,16726,95188,0.854761792,7744787482,789,0.00262497,0.00000102
vieclus,cond-mat,2,38912,0,2790.7,0,cond-mat.graph,16726,95188,0.854685724,7744098242,792,0.00259380,0.00000100
vieclus,cond-mat,3,38912,0,2530.15,0,cond-mat.graph,16726,95188,0.854831853,7745422282,792,0.00264248,0.00000102
vieclus,cond-mat,4,38912,0,2957.72,0,cond-mat.graph,16726,95188,0.854773579,7744894280,791,0.00262946,0.00000102
vieclus,cond-mat,5,38940,0,3364.3,0,cond-mat.graph,16726,95188,0.854760135,7744772462,790,0.00261692,0.00000102
ucode,cond-mat,1,4924764,0,1728.2723667621613,1000,cond-mat.graph,16726,95188,0.000000000,-8,2,0.50000000,0.00005979
ucode,cond-mat,2,4924764,0,1732.043426990509,1000,cond-mat.graph,16726,95188,0.000000000,0,1,0.00000000,0.00000000
ucode,cond-mat,3,4924764,0,1735.2200167179108,1000,cond-mat.graph,16726,95188,0.000000000,0,1,0.00000000,0.00000000
ucode,cond-mat,4,4924764,0,1729.798701763153,1000,cond-mat.graph,16726,95188,0.000189660,1718464,2,0.48872180,0.00009749
ucode,cond-mat,5,4924764,0,1738.5364172458649,1000,cond-mat.graph,16726,95188,0.000000000,0,1,0.00000000,0.00000000
magi,cond-mat,1,1966572,0,1148.6026592254639,100,cond-mat.graph,16726,95188,0.104819230,949741406,4,0.31718385,0.00020394
magi,cond-mat,2,1966572,0,1170.6867907047272,100,cond-mat.graph,16726,95188,0.082365928,746297530,5,0.34556326,0.00017761
